env,method,seed,timestep,return,ep_length
car_flag,cgf,0,20000,-1.6000000000000003,160.0
car_flag,cgf,0,40000,-0.5095,131.75
car_flag,cgf,0,60000,0.2755,73.45
car_flag,cgf,0,80000,0.34450000000000003,66.55
car_flag,cgf,0,100000,0.41899999999999993,59.1
car_flag,cgf,0,120000,0.42600000000000005,58.4
car_flag,cgf,0,140000,0.37,64.0
car_flag,cgf,0,160000,0.469,54.1
car_flag,cgf,0,180000,0.41,60.0
car_flag,cgf,0,200000,0.3685,64.15
car_flag,cgf,0,220000,0.40099999999999997,60.9
car_flag,cgf,0,240000,0.5185,49.15
car_flag,cgf,0,260000,0.377,63.3
car_flag,cgf,0,280000,0.372,63.8
car_flag,cgf,0,300000,0.332,67.8
car_flag,cgf,0,320000,0.4325,57.75
car_flag,cgf,0,340000,0.38300000000000006,62.7
car_flag,cgf,0,360000,0.4109999999999999,59.9
car_flag,cgf,0,380000,0.41,60.0
car_flag,cgf,0,400000,0.40049999999999997,60.95
car_flag,cgf,0,420000,0.4585,55.15
car_flag,cgf,0,440000,0.397,61.3
car_flag,cgf,0,460000,0.39349999999999996,61.65
car_flag,cgf,0,480000,0.387,62.3
car_flag,cgf,0,500000,0.382,62.8
car_flag,cgf,0,520000,0.38399999999999995,62.6
car_flag,cgf,0,540000,0.462,54.8
car_flag,cgf,0,560000,0.4215,58.85
car_flag,cgf,0,580000,0.391,61.9
car_flag,cgf,0,600000,0.34750000000000003,66.25
car_flag,cgf,0,620000,0.44350000000000006,56.65
car_flag,cgf,0,640000,0.40800000000000003,60.2
car_flag,cgf,0,660000,0.4465,56.35
car_flag,cgf,0,680000,0.3285,68.15
car_flag,cgf,0,700000,0.30700000000000005,70.3
car_flag,cgf,0,720000,0.346,66.4
car_flag,cgf,0,740000,0.3284999999999999,68.15
car_flag,cgf,0,760000,0.44349999999999995,56.65
car_flag,cgf,0,780000,0.39200000000000007,61.8
car_flag,cgf,0,800000,0.4565,55.35
car_flag,cgf,0,820000,0.4125,59.75
car_flag,cgf,0,840000,0.40049999999999997,60.95
car_flag,cgf,0,860000,0.46699999999999997,54.3
car_flag,cgf,0,880000,0.40800000000000003,60.2
car_flag,cgf,0,900000,0.363,64.7
car_flag,cgf,0,920000,0.3395,67.05
car_flag,cgf,0,940000,0.362,64.8
car_flag,cgf,0,960000,0.3305,67.95
car_flag,cgf,0,980000,0.4414999999999999,56.85
car_flag,cgf,0,1000000,0.4779999999999999,53.2
car_flag,cgf,1,20000,-0.776,133.15
car_flag,cgf,1,40000,-0.118,82.8
car_flag,cgf,1,60000,0.188,62.2
car_flag,cgf,1,80000,0.12399999999999997,58.6
car_flag,cgf,1,100000,0.18800000000000003,62.2
car_flag,cgf,1,120000,0.17249999999999996,53.75
car_flag,cgf,1,140000,0.396,61.4
car_flag,cgf,1,160000,0.3585,65.15
car_flag,cgf,1,180000,0.38499999999999995,62.5
car_flag,cgf,1,200000,0.49450000000000005,51.55
car_flag,cgf,1,220000,0.42800000000000005,58.2
car_flag,cgf,1,240000,0.4165,59.35
car_flag,cgf,1,260000,0.442,56.8
car_flag,cgf,1,280000,0.3825,62.75
car_flag,cgf,1,300000,0.4725,53.75
car_flag,cgf,1,320000,0.414,59.6
car_flag,cgf,1,340000,0.37150000000000005,63.85
car_flag,cgf,1,360000,0.44499999999999995,56.5
car_flag,cgf,1,380000,0.38649999999999995,62.35
car_flag,cgf,1,400000,0.421,58.9
car_flag,cgf,1,420000,0.4465,56.35
car_flag,cgf,1,440000,0.386,62.4
car_flag,cgf,1,460000,0.4124999999999999,59.75
car_flag,cgf,1,480000,0.3835,62.65
car_flag,cgf,1,500000,0.46049999999999996,54.95
car_flag,cgf,1,520000,0.41850000000000004,59.15
car_flag,cgf,1,540000,0.44400000000000006,56.6
car_flag,cgf,1,560000,0.495,51.5
car_flag,cgf,1,580000,0.3895,62.05
car_flag,cgf,1,600000,0.45199999999999996,55.8
car_flag,cgf,1,620000,0.395,61.5
car_flag,cgf,1,640000,0.37800000000000006,63.2
car_flag,cgf,1,660000,0.365,64.5
car_flag,cgf,1,680000,0.4090000000000001,60.1
car_flag,cgf,1,700000,0.44750000000000006,56.25
car_flag,cgf,1,720000,0.35899999999999993,65.1
car_flag,cgf,1,740000,0.40199999999999997,60.8
car_flag,cgf,1,760000,0.471,53.9
car_flag,cgf,1,780000,0.4045000000000001,60.55
car_flag,cgf,1,800000,0.4574999999999999,55.25
car_flag,cgf,1,820000,0.44299999999999995,56.7
car_flag,cgf,1,840000,0.48649999999999993,52.35
car_flag,cgf,1,860000,0.42800000000000005,58.2
car_flag,cgf,1,880000,0.45150000000000007,55.85
